Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core: State,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Hite, Ky. by Dollie Dingus",411,http://mappalachia.org/pictures/gallery/full_size/map_411.jpg,Dollie Dingus,1956,Floyd,Hite,Ky.,Rights Reserved by: Dollie Dingus,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5570432,-82.7534923,10,,
"Kings Mountain, Ky. by Billy Sims",412,http://mappalachia.org/pictures/gallery/full_size/map_412.jpg,Billy Sims,1989,Lincoln,Kings Mountain,Ky.,Rights Reserved by: Billy Sims,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3725779,-84.6880003,10,,
"Parsons, W.Va. by Gail Parsons",413,http://mappalachia.org/pictures/gallery/full_size/map_413.jpg,Gail Parsons,1955,Tucker,Parsons,W.Va.,Rights Reserved by: Gail Parsons,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.096495,-79.680896,10,,
"Charleston, W.Va. by Bambi Belmont",414,http://mappalachia.org/pictures/gallery/full_size/map_414.jpg,Bambi Belmont,1989,Kanawha,Charleston,W.Va.,Rights Reserved by: Bambi Belmont,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.3498195,-81.6326234,10,,
"Pineville, Ky. by Martin Wilson",415,http://mappalachia.org/pictures/gallery/full_size/map_415.jpg,Martin Wilson,1956,Bell,Pineville,Ky.,Rights Reserved by: Martin Wilson,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.76203,-83.6949176,10,,
"Flemingsburg, Ky. by Charles Adams",416,http://mappalachia.org/pictures/gallery/full_size/map_416.jpg,Charles Adams,1988,Fleming,Flemingsburg,Ky.,Rights Reserved by: Charles Adams,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4222995,-83.7338076,10,,
"Birmingham, Ala. by Murial Wright",417,http://mappalachia.org/pictures/gallery/full_size/map_417.jpg,Murial Wright,1956,Jefferson,Birmingham,Ala.,Rights Reserved by: Murial Wright,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,33.5185892,-86.8103567,10,,
"Paintsville, Ky. by Wayne Ratliff",418,http://mappalachia.org/pictures/gallery/full_size/map_418.jpg,Wayne Ratliff,1987,Johnson,Paintsville,Ky.,Rights Reserved by: Wayne Ratliff,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8145384,-82.8071054,10,,
"Blountville, Tenn. by Susan Daffron",419,http://mappalachia.org/pictures/gallery/full_size/map_419.jpg,Susan Daffron,1987,Sullivan,Blountville,Tenn.,Rights Reserved by: Susan Daffron,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5331586,-82.326806,10,,
"Lenoir, Ky. by Shirley Jarvis",420,http://mappalachia.org/pictures/gallery/full_size/map_420.jpg,Shirley Jarvis,1956,Caldwell,Lenoir,Ky.,Rights Reserved by: Shirley Jarvis,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.9140196,-81.5389849,10,,
"Beattyville, Ky. by Robert Gray",421,http://mappalachia.org/pictures/gallery/full_size/map_421.jpg,Robert Gray,1987,Lee,Beattyville,Ky.,Rights Reserved by: Robert Gray,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5717532,-83.7068597,10,,
"Surgoinsville, Tenn. by Kim Williams",422,http://mappalachia.org/pictures/gallery/full_size/map_422.jpg,Kim Williams,1987,Hawkins,Surgoinsville,Tenn.,Rights Reserved by: Kim Williams,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.4709298,-82.851829,10,,
"Middlesboro, Ky. by Barbara Thomas",423,http://mappalachia.org/pictures/gallery/full_size/map_423.jpg,Barbara Thomas,1966,Bell,Middlesboro,Ky.,Rights Reserved by: Barbara Thomas,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6072567,-83.7142848,10,,
"Decatur, Ky. by Becca Hamner",424,http://mappalachia.org/pictures/gallery/full_size/map_424.jpg,Becca Hamner,1966,Limestone and Morgan,Decatur,Ky.,Rights Reserved by: Becca Hamner,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.6059253,-86.9833417,10,,
"Decatur, Ky. by Becca Hamner",425,http://mappalachia.org/pictures/gallery/full_size/map_425.jpg,Becca Hamner,1966,Limestone and Morgan,Decatur,Ky.,Rights Reserved by: Becca Hamner,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.6059253,-86.9833417,10,,
"Bradshaw, W.Va. by Earnest A Baker",426,http://mappalachia.org/pictures/gallery/full_size/map_426.jpg,Earnest A Baker,1952,Logan,Bradshaw,W.Va.,Rights Reserved by: Earnest A Baker,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8017706,-82.0317928,10,,
"Liberty, Ky. by Betty Lou Miller",427,http://mappalachia.org/pictures/gallery/full_size/map_427.jpg,Betty Lou Miller,1966,Casey,Liberty,Ky.,Rights Reserved by: Betty Lou Miller,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3184064,-84.9393979,10,,
"Madison, W.Va. by Frieda Meade",428,http://mappalachia.org/pictures/gallery/full_size/map_428.jpg,Frieda Meade,,Boone,Madison,W.Va.,Rights Reserved by: Frieda Meade,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.0670454,-81.8192892,10,,
"Unknown, Ky. by Bobby Jo Gay",429,http://mappalachia.org/pictures/gallery/full_size/map_429.jpg,Bobby Jo Gay,1966,Hazard,Unknown,Ky.,Rights Reserved by: Bobby Jo Gay,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,
"Franklin, N.C. by Aaron Philips",430,http://mappalachia.org/pictures/gallery/full_size/map_430.jpg,Aaron Philips	,1971,Macon,Franklin,N.C.,Rights Reserved by: Aaron Philips	,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.1823171,-83.3815429,10,,
"Lexington, Va. by Allan Bareger",431,http://mappalachia.org/pictures/gallery/full_size/map_431.jpg,Allan Bareger,1971,Rockbridge,Lexington,Va.,Rights Reserved by: Allan Bareger,Paper,approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7835717,-79.4416609,10,,
